title,movieID
Suicide Squad | 2016,7053725896529982409
Hairspray | 2007,5106255934015069955
Chicago | 2002,4137219190881485129
The Fly | 1986,4502161409143451708
It: Chapter Two | 2019,-9149833286728787931
It | 2017,-37922267791333541
Once Upon A Time... In Hollywood | 2019,8708608789391263861
The Avengers (Avengers Assemble) | 2012,-6256001862689329922
Avengers: Age Of Ultron | 2015,583377667645342648
Avengers: Infinity War | 2018,-3037338273611518167
Avengers: Endgame | 2019,-121482635392221859
Captain America: Civil War | 2014,1131937738362908071
Captain America: The First Avenger | 2011,386184811070077183
Captain America: The Winter Soldier | 2014,-4032462756127029359
Pulp Fiction | 1994,-6516699241843735664
Kill Bill: Vol. 1 | 2003,3181291438765381969
Kill Bill: Vol. 2 | 2004,-361474254844120215
Ocean's Eleven | 1960,-9214928971706973746
Ocean's Eleven | 2001,-4815336114213845074
W film titles,-1228079397981091549
Watchmen | 2009,-7148563530193546598
World War Z | 2013,138364053041394534
The Wolverine | 2013,-1746183750766848399
The Devil Wears Prada| 2006,-6378956298537931912
The Danish Girl | 2015,145911797232262230
Pirates Of The Caribbean: Curse of the Black Pearl | 2003,3633520937290300238
Pirates of the Caribbean: Dead Man's Chest | 2006,3825344925986308252
Pirates Of The Caribbean: At World's End | 2007,-6801869169391040170
Pirates Of The Caribbean: On Stranger Tides | 2011,163279540097579000
